"Dragon Word","Word Type","Canon Level",Definition,Notes
Gosis,noun,Non-Canon,Brass,"Can also be used as an adjective."
Gosvah,noun,Non-Canon,"Wood, Timber, Lumber, Wooden","Edited from ""Gosvaa""."
Gosvah-Lovaas,noun,Modern,Xylophone,"Lit. ""wooden-sound."""
Gosvahklav,noun,Non-Canon,Termite,"From ""Gosvah,"" ""wood"" and ""Klav,"" ""ant"", lit. ""wood-ant""."
Gosvahkot,noun,Non-Canon,Sandal,"Lit. means ""wooden"", ""shoe"". Taken from Greek word definition ""Sandalon""."
Gosvahsehild,noun,Semi-Canon,Applewood,"Lit. means ""wood of apples""."
Gosvahsevroz,noun,Semi-Canon,Cherrywood,"Lit. means ""wood of cherries""."
Gosvahzir,noun,Non-Canon,"Carpentry, Carpenter","Lit. ""woodcraft."""
Gosvern,noun,Non-Canon,Heaven,
Got,verb,Non-Canon,"Beget, Sire","From the Icelandic for ""beget,"" ""getið."""
Gov,noun,Non-Canon,Brow,
Govegein,noun,Semi-Canon,"Outcast, Pariah","It is derived from the words Govey and Gein, Remove and one, meaning Removed One."
Govend,noun,Semi-Canon,Removal,"From ""Govey,"" ""to remove,"" with the suffix ""-end."""
Govey,verb,Canon,Remove,"Possible from ""Vey,"" ""cut."""
Goveyzii,verb,Semi-Canon,"Exorcise, Exorcism","Lit. ""remove spirit."""
Govir,verb,Semi-Canon,Rid,"Derived from ""Govey"" ""Remove."""
Govoldeim,noun,Non-Canon,Fortress,
Goz,verb,Non-Canon,Mount,
Graad,noun,Semi-Canon,"Grave, esp. that of a warrior","Related to ""Grah,"" a grave, particularly of one who has died in battle."
Graadnah,noun,Non-Canon,Garden,
Graadstaad,noun,Non-Canon,Graveyard,"A compound of ""Graad"" and ""Staad"", ""grave-place""."
Graag,noun,Canon,Green,"May be used as either a noun or adjective."
Graagmahleyn,noun,Semi-Canon,Cucumber,"Lit. ""green-gourd."""
Graagniiv,noun,Modern,Tennis,"From ""Graag,"" ""green"" and ""Niiv,"" ""ball"", lit. ""green-ball"", can be used as both the sport and the tennis ball itself."
Graal,verb,Semi-Canon,Beat,"From ""Grah"", ""battle"", to strike, or defeat/win against. Edited from ""Grahr"" and ""Graht."""
Graan,verb,Canon,Rout,
Graar,adjective,Non-Canon,Crude,"From the Icelandic for ""crude,"" ""grófur."""
Graat,verb,Semi-Canon,Debate,"From ""Grah,"" ""battle,"" and ""Rot,"" ""word."" Edited from ""Diskutir."""
Graav,adjective,Non-Canon,"Serious, Seriously",
Graaz,verb,Semi-Canon,"Hack, Slash","Related to ""Grah"", ""battle"". Edited from ""Grahz."""
Gradol,noun,Non-Canon,Gravel,"Edited from ""Gradolv."""
Grah,noun,Canon,Battle,
Grah-Geltrein,noun,Semi-Canon,Warhorn,"Lit. ""battle-horn."""
Grah-Zeymahzin,noun,Canon,Ally,"A phrase that means ""Battle-Companion""."
Grahangaar,noun,Semi-Canon,"Battlement, Parapet","Lit. ""Battle"", ""tower""."
Grahdopaan,noun,Modern,"Squad, Fireteam","Pertaining to small and organized groups of soldiers. Lit. ""battle-group."""
Grahgeltviing,noun,Modern,"Fighter, fighter aircraft or jet","""Geltviing"" with ""Grah"", ""battle""."
Grahkun,noun,Non-Canon,"Battleaxe, Waraxe, Greataxe","A compound of ""Grah"" and ""Hahkun""."
Grahmin,noun,Semi-Canon,Strategy,"From ""Grahmindol"", ""stratagem""."
Grahmindol,noun,Canon,"Stratagem ",
Grahrein,noun,Semi-Canon,"War Cry, Battle Cry, to issue a battle cry","Lit. ""battle-roar."""
Grahsaan,noun,Semi-Canon,"Casualty, a death or loss in battle","Lit. ""battle-loss."""
Grahstaad,noun,Semi-Canon,Arena,"Compound of ""Grah"" and ""Staad""."
Grahtu,noun,Semi-Canon,Warhammer,"From ""Grah"" battle and ""Tu"" hammer."
Grahveysun,noun,Semi-Canon,"Warship, Battleship","Lit. ""battle-ship."" Any ship used for battle or war."
Gral,noun,Semi-Canon,"Ruin, Devastation, Disaster, Destruction","Edited from ""Rulg."" From ""Al,"" ""to destroy."""
Graluk,noun,Non-Canon,Sludge,
Gralukus,adjective,Non-Canon,Sludgy,"""Graluk"" with suffix ""-us""."
Gram,noun,Canon,Cloud,
Gramaan,noun,Semi-Canon,Swarm,"From ""Gram,"" ""cloud."""
Gramus,adjective,Semi-Canon,Cloudy,"""Gram"" with the suffix ""-us"", now based on the canon word for ""cloud""."
Grav,noun,Non-Canon,Effort,
Gravnu,adjective,Non-Canon,Effortless,"""Grav"" with the suffix ""-nu""."
Gravunlom,noun,Semi-Canon,"Riften ","Compound of ""Gravuun"" and ""Lom"", ""autumn-waters"". Shortened from ""Gravuunlom."""
Gravuun,noun,Canon,Autumn,
Gravuunus,adjective,Semi-Canon,Autumnal,"""Gravuun"" with the suffix ""-us."""
Grel,noun,Non-Canon,Frog,"From ""Grol,"" ""toad."""
Gren,adjective,Semi-Canon,Raw,"From the Old English word ""Grene"". Also related to ""Slen"", ""flesh""."
Grenvah,noun,Non-Canon,Dill,"Refers to the plant/herb, slightly based on its Latin name ""Anethum graveolens""."
Greylok,noun,Non-Canon,Thistle,
Greyz,adjective,Non-Canon,"Moral, Ethical, Morality","Edited from ""Greiz."""
Greyziik,noun,Semi-Canon,"Moral, Ethic","""Greyz"" with the suffix ""-iik,"" something that is moral or ethical."
Griid,noun,Semi-Canon,Phase,"Related to ""Tiid"", ""time""."
Griir,adjective,Non-Canon,"Bawdy, Vulgar","Related to ""Graar"", ""crude"", but with more of a leaning toward comedic sexuality."
Griiv,verb,Non-Canon,Thrust,"Edited from ""Usuul."""
Griivtuz,noun,Semi-Canon,Foil,"Lit. ""thrust-blade.""
"
Grik,adjective,Canon,Such,
Grimolii,noun,Non-Canon,Chimney,
Grin,noun,Semi-Canon,Bond,"Derived from ""Gron"", ""Bind""."
Grind,verb,Canon,Meet,
Grind-Huvut,noun,Semi-Canon,"Qualify, Qualification","Lit. ""meet-require,"" to meet the requirements of something."
Grindaaris,noun,Semi-Canon,Quorum,"From ""Grind,"" ""to meet."""
Grindol,noun,Non-Canon,Cliff,
Grinvund,noun,Non-Canon,Fence,"From ""Vund""."
Grist,verb,Semi-Canon,Introduce,"From Grind: meet, Diist: first."
Gristend,noun,Semi-Canon,"Introduction ","From ""Grist,"" ""to introduce,"" with the suffix ""-end."""
Grit,noun,Non-Canon,"Doubt, Scepticism, Skepticism","Can also be used as a verb, ""to doubt"". Edited from ""Ren."""
Gritiik,noun,Non-Canon,"Doubter, Skeptic","""Grit"" with suffix ""-iik."""
Gro,adjective,Canon,Bound,"Bound as in, ""captured and bound."""
Grohiik,noun,Canon,Wolf,
Grohiik-Okaaron,noun,Modern,"Orca/Killer Whale","Lit. ""wolf-whale."""
Grok,adverb,Non-Canon,"Hence, Henceforth",
Grol,noun,Non-Canon,Toad,
Grolaan,noun,Semi-Canon,Bequest,"Compound of ""Gro"", ""bound"", and ""Laan"", ""request""."
Grolah,verb,Non-Canon,"Endure, Withstand, Persevere, Last, Outlast",
Gron,verb,Canon,Bind,
Grongeyt,noun,Semi-Canon,Harness,"Lit. ""bind-chest."" As a verb, ""to apply a harness."" Cannot be used to mean ""harness"" as in ""gather"" or ""wield."""
Gronhah,verb,Semi-Canon,"Obsess, Obsession","Lit. ""bind-mind."""
Gronsuleyk,verb,Semi-Canon,Empower,"From ""Gron"" and ""Suleyk,"" ""bind-power."""
Gronvu,adjective,Semi-Canon,Boundless,"""Gron"" with the suffix ""-vu."""
Gronzul,verb,Semi-Canon,Sentence,"Means ""bind-voice"". The verb ""to sentence"" as in ""deliver a sentence"" rather than the grammatical unit."
Groonah,noun,Non-Canon,Ogre,
Grosithul,noun,Modern,Cymbal,"Lit. means ""Brass"", ""Thunder""."
Groso,verb,Semi-Canon,Regret,"Lit. ""bound to sorrow."" Edited from ""Dirn."""
Grosokei,adjective,Semi-Canon,Regretful,"""Groso"" with the suffix ""-kei."" Edited from ""Zodirn."""
Grotiin,adjective,Non-Canon,Heavy,
Grozah,adjective,Non-Canon,"Likely, Probable, Probably","Derived from ""Grozein"", meaning ""Chance""."
Grozahom,noun,Non-Canon,"Likeliness, Probability","""Grozah"" with the suffix ""-om."""
Grozein,noun,Non-Canon,"Chance, Opportunity",
Grozeindez,noun,Semi-Canon,"Coincidence, Serendipity","Lit. ""Chance"", ""fate""."
Gru,verb,Semi-Canon,"Jog, Trot","From ""Ru,"" ""run."""
Grud,adjective,Non-Canon,Thick,
Grudom,noun,Non-Canon,Thickness,"""Grud"" with the suffix  ""-om""."
Gruhon,noun,Non-Canon,Fugitive,"Slightly related to ""Ru"", ""to run""."
Gruin,noun,Non-Canon,Dread,"Pronounced ""Groo-een"". Can also be the verb form."
Grul,noun,Semi-Canon,Mud,"From ""Gol,"" ""earth."" Edited from ""Pras."""
Grulus,adjective,Semi-Canon,Muddy,"""Grul"" with the suffix ""-us"". Edited from ""Prasus."""
Grunah,verb,Semi-Canon,Suspect,"Derived from Old Norse ""gruna"". Also related to ""Gruth"", ""betrayal"". Can be used as a noun."
Grund,noun,Non-Canon,Map,
Grundaar,noun,Semi-Canon,Suspicion,"From ""Grun"", ""suspect""."
Grundiik,noun,Non-Canon,"Mapmaker, Cartographer","From ""Grund"", ""map"", with the suffix ""-iik""."
Grundograan,noun,Modern,Graph,"From ""Grund"" and ""Ograan,"" lit ""Grid Map."""
Grunir,adjective,Semi-Canon,Suspicious,"Derived from Old Norse, ""Grunr""."
Grunvo,adjective,Non-Canon,Thorough,
Grunvom,noun,Non-Canon,Thoroughness,"From ""Grunvo"", ""thorough""."
Grunz,noun,Semi-Canon,Prison,"Edited from ""Gren"". From ""Gron"", ""bind""."
Grunzah,noun,Semi-Canon,"Hostage, Captive, Prisoner","Edited from ""Grenzah"". From ""Gron"", ""bind""."
Grunzsesille,noun,Semi-Canon,"Soul Cairn","Literally ""prison of souls."" Edited from ""Grensesille."""
Grut,verb,Semi-Canon,Betray,"Derives from Gruth"
Gruth,noun,Canon,Betrayal,
Grutsur,noun,Non-Canon,"Mustard, refers to the plant or seed",
Grutsur-Ezil,noun,Modern,"Mustard, condiment","Lit. ""mustard-sauce."""
Gruz,verb,Semi-Canon,Greet,"From ""Grind"", ""meet""."
Gul,noun,Semi-Canon,Cave,"From ""Gol"", ""earth""."
"Gultkey ",noun,Modern,"Garage ","Lit. means ""car"", ""cave""."
Gun,verb,Non-Canon,Visit,
Gunaar,verb,Non-Canon,"Smash, Crush",
Guniik,noun,Non-Canon,Visitor,"""Gun"" with the suffix ""-iik""."
Guraad,verb,Non-Canon,Guarantee,
Gurah,noun,Non-Canon,Bale,
Guriid,verb,Non-Canon,Compliment,
Gut,adjective,Canon,Far,
Gut-Deykraan,noun,Modern,"Fax, facsimile","Lit. ""far-parchment."""
Gutfraan,adjective,Semi-Canon,Vicarious,"Lit. ""far-feeling."""
Gutinok,noun,Modern,Sniper,"From ""Gut"", ""far"", and ""Dinok"", ""death""."
Gutiriik,noun,Modern,Alien,"Lit. ""far outsider."""
Gutlein,noun,Semi-Canon,Planet,"Gut-Lein, literally ""Far world."""
Gutlok,noun,Modern,"Space, outer space","Means ""far-sky."""
Gutlokmiin,noun,Modern,Satellite,"Lit. ""space eye."""
Gutlokviing,noun,Modern,"Spaceship, 
Spaceshuttle","Lit. ""far-sky-wing."""
Gutmiin,noun,Semi-Canon,"Telescope, Spyglass, Binoculars, any instrument used to see further","Literally ""far-eye."""
Gutom,noun,Semi-Canon,Distance,"Lit. ""farness."" Edited from ""Hudin."""
Gutovok,verb,Semi-Canon,"Daydream, to ""space out""","From ""Gut"" and ""Tovok,"" ""far-wonder."""
Gutsiin,noun,Modern,Telegraph,"From ""Gut"" and ""Siin,"" ""far-sign."""
Gutvild,noun,Modern,Asteroid,"From ""Gut,"" ""far,"" and ""Vild,"" ""rock."""
Gutzekein,noun,Modern,"Battery, Artillery","Lit. ""far-batter"" or ""far-assault""."
Gutzul,noun,Modern,"Phone, Telephone","Lit. ""far-voice""."
Guur,interjection,Non-Canon,"Bye, Goodbye",Informal
Guvok,verb,Non-Canon,"Imbue, Infuse",
Guzor,noun,Non-Canon,Sweat,
Guzorus,adjective,Non-Canon,Sweaty,"""Guzor"" with suffix ""-us""."
Haadvohiik,noun,Non-Canon,Forsworn,"A compound of ""Haad"" and ""Voh"" with the suffix ""-iik"", it literally means ""who denies his oath"". Particularly can be used for native-born population of the Reach"
Haaf,noun,Semi-Canon,Inn,
Haal,noun,Canon,Hand,
Haal-Klur,noun,Modern,"Football, american football","Lit. ""hand-egg"", referring to the shape of the ball being held in the hand."
Haal-Liin,noun,Modern,"Masturbate, Masturbation","Derived from the Dovahzul words for ""Hand"" and ""Sex."""
Haal-Sharaan,adjective,Semi-Canon,"Manual, hand-operated","Lit. ""hand-handled/managed/operated."""
Haal-Thulzun,noun,Modern,Handgun,"Lit. ""hand-gun."" Edited from ""Haal-Mulrunaz."""
Haalgrah,verb,Semi-Canon,"Wrestle, Grapple","Lit. ""hand-battle."""
Haalit,noun,Semi-Canon,Handle,"From ""Haal"", ""hand""."
Haaljusk,noun,Non-Canon,"Nail, Fingernail","Derived from ""Haal"" and ""Jusk"", it literally means ""hand claw""."
Haalkot,noun,Semi-Canon,Glove,"Edited from ""Hanzin."" From ""Haal"" and ""Kot,"" ""hand-shoe."""
Haalkun,noun,Semi-Canon,Lantern,"Edited from ""Hjalok."" Lit. ""hand-light."""
Haalmand,noun,Semi-Canon,Tambourine,"Lit. ""Hand Drum"""
Haalniv,verb,Semi-Canon,"Caress, Pet","Edited from ""Nik."" From ""Haal,"" ""hand."""
Haalokluv,noun,Semi-Canon,"April / Rain's Hand","Haal: Hand, Lokluv: Rain"
Haalrein,noun,Semi-Canon,"Applause / Applaud","Lit. ""hand"", ""roar"". Also the verb ""to applaud."""
Haalvit,verb,Semi-Canon,Poke,"From ""Haal"", ""hand"". Edited from ""Haalkun."""
Haalvon,verb,Semi-Canon,Tap,"From ""Haalvut,"" ""to touch."""
Haalvut,verb,Canon,"Touch, specifically with one's hand",
Haalvutir,verb,Semi-Canon,Tag,"From ""Haalvut"", ""touch""."
Haalwid,noun,Modern,Dumbbell,"From ""Haal"" and ""Wid,"" literally ""hand weight."""
Haalz,verb,Semi-Canon,Clap,"From ""Haal,"" ""hand."""
Haalziik,noun,Semi-Canon,Clapper,"""Haalz"" with the suffix ""-iik."""
Haamid,noun,Non-Canon,Cheese,"Edited from ""Hjamid""."
Haamidus,adjective,Non-Canon,Cheesy,"From ""Haamid"" with suffix ""-us""."
Haan,noun,Semi-Canon,Paw,"Inspired by ""Haal"", ""hand"", and ""Raan"", ""animal""."
Haar,noun,Non-Canon,"Pillar, Column","Edited from ""Hjar"" and ""Hjaar."""
Haaragelt,noun,Semi-Canon,Malachite,"Related to ""Gelt,"" ""metal."""
Haas,noun,Canon,Health,
Haas-Pelaan,noun,Modern,"Health Record","From ""Haas"" (Health) and ""Pelaan"" (Written)."
Haasmul,noun,Semi-Canon,Fitness,"Lit. ""Health"", ""strength""."
Haav,verb,Non-Canon,Enter,"Edited from ""Hav."""
Haavneviis,noun,Non-Canon,Heritage,"Based on ""Haavneyz"", ""inherit""."
Haavneyz,verb,Non-Canon,Inherit,
Haavniid,adjective,Non-Canon,Inherent,
Haaz,verb,Non-Canon,Lunch,
Hadaak,noun,Non-Canon,Dock,"Edited from ""Daak."""
Hadriid,verb,Semi-Canon,Meditate,"A portmanteau of both ""Hadrim"" and ""Tiid"", and means ""Mind-Time"", as in the time you spend alone with your mind i.e. meditate."
Hadriidak,noun,Non-Canon,Meditation,"""Hadriid"" with the suffix ""-ak""."
Hadriidav,adjective,Non-Canon,Meditative,"From ""Hadriid"", ""meditate""."
Hadroz,verb,Non-Canon,Weave,
Hadrozaal,noun,Non-Canon,Braid,"From ""Hadroz"" (""Weave"") and the suffix ""-aal"" (""with or having ___""). Refers to the weave of a rope or the braid of a hairstyle. Noun only. See ""Hadroz"" for the verb."
Hah,noun,Canon,Mind,"Synonyms with ""Hahdrim"", and it seems to be the root of it."
Hahdrim,noun,Canon,Mind,
Hahdrimbo,noun,Semi-Canon,Telekinesis,"Lit. ""mind-move."""
"Hahfiikath ",noun,Semi-Canon,"Psychedelicism, Psychedelic","From ""Hah,"" ""mind"" and ""Fiikath,"" ""illusion"", lit. ""mind-illusion"". Both noun and adjective."
Hahgolt,adjective,Semi-Canon,"Concrete, Solid, Substantial","Edited from ""Hasiiv."" Related to ""Hah"" and ""Golt,"" ""grounded in the mind."""
Hahjok,adjective,Semi-Canon,"Imaginary, Illusory, Hallucinatory","From ""Hah,"" ""mind,"" something false or unreal rooted in the mind."
Hahkel,noun,Non-Canon,Novel,"Derived from ""Deykel"", ""book""."
Hahkiin,adjective,Semi-Canon,"Innate, Instinctual","From ""Hah,"" ""mind"" and ""Kiin,"" ""born"", lit. ""mind-born"" or ""born of the mind""."
Hahkreh,verb,Semi-Canon,Riddle,"The noun or the verb. Lit. ""mind-bend."""
Hahkun,noun,Canon,Axe,
Hahleit,noun,Semi-Canon,Conscience,"Based on ""Hah"", ""mind""."
Hahlor,noun,Semi-Canon,Brain,"Edited to ""Hahlor"". From ""Hah"", ""mind"", and ""Lor"", ""to think""."
Hahlot,verb,Semi-Canon,"Revere, Regard, Venerate","From ""Hah"" and ""Lot"", ""mind-great""."
Hahmoor,noun,Semi-Canon,Mood,"Slightly inspired by the Norwegian word for mood, humør. From ""Hah,"" ""mind."" Edited from ""Hjumoor."""
Hahnu,noun,Canon,Dream,
Hahnud,noun,Semi-Canon,Dreamer,
Hahnuheim,noun,Semi-Canon,"Vision, Hallucination.","Composed of the words Hahnu and Heim, it literally means Dream-Forge and refers to the state in which one enters when having visions or hallucinations."
Hahnurov,noun,Semi-Canon,Delusion,"Related to ""Hah"", ""mind""."
Hahnus,adjective,Semi-Canon,"Dreamy, Dreamlike","""Hahnu"" with the suffix ""-us."""
Hahnuv,adjective,Semi-Canon,Mental,"""Hah"" with the suffix ""-uv,"" ""of or pertaining to the mind."""
Hahprustiik,noun,Modern,Psychologist,"Lit. ""mind-studier."""
Hahsebom,noun,Modern,Physics,"""Mind of Motion""."
Hahsefil,noun,Modern,Astronomy,"Lit. ""mind of the stars""."
Hahsefilah,noun,Modern,Astronomer,"From ""Hahsefil"". One who studies the stars."
Hahsegol,noun,Modern,Geology,"""Mind of the earth"". Edited from ""Hasoksegol""."
Hahsekolvas,noun,Modern,Pharmacology,"Literally mind of drugs, study of drugs."
Hahsekolvasiik,noun,Modern,"Pharmacist, Pharmacologist","""Hahsekolvas"" with the suffix ""-iik."""
Hahselaas,noun,Modern,Biology,"""Mind of life"". Edited from ""Hasokselaas""."
Hahselein,noun,Modern,Cosmology,"""Mind of world""."
Hahselok,noun,Modern,"Climatology, the study of climate","""Mind of the sky""."
Hahselokos,noun,Modern,"Meteorology, the study of weather","From ""Hah"" and ""Lokos,"" ""mind of weather."""
Hahselom,noun,Modern,Hydrology,"Lit. ""mind of water."""
Hahseluug,noun,Modern,Vexillology,"From ""Hah"" and ""Luug,"" ""mind of flags,"" the study of flags, their history, design, etc."
Hahsemun,noun,Modern,Anthropology,"Lit. ""the mind of man."""
Hahsenor,noun,Modern,Geography,"Lit. ""mind of the land."""
Hahseraan,noun,Modern,Zoology,"""Mind of animals"". Edited from ""Hasokseraan""."
Hahserah,noun,Semi-Canon,Theology,"A compound of ""Hah"" and ""Rah"", ""mind of god""."
Hahsesiin,noun,Modern,Astrology,"Lit. ""Mind of the signs""."
Hahsesulaas,noun,Modern,Aerobiology,"Lit ""mind of air life."""
Hahsewuth,noun,Modern,Archaeology,"""Mind of the old"". Edited from ""Hasoksewuth""."
Hahsezul,noun,Modern,Linguistics,"Lit. ""mind of voice""."
Hahsok,noun,Semi-Canon,"School, Discipline, Field, Study","Edited from ""Hasok."" Related to ""Hah,"" ""mind."""
Hahsok-Du'ul,noun,Modern,Diploma,"From ""Hahsok"" and ""Du'ul,"" lit. ""school-crown."""
Hahsoksehah,noun,Modern,Psychology,"""Study of the mind""."
Hahstrun,noun,Modern,Brainstorm,"From ""Hah"" and ""Strun,"" ""mind-storm."""
Hahtaar,noun,Semi-Canon,"Custom, Practice, Tradition","From ""Hah,"" ""mind."" Edited from ""Hjatir."""
Hahulaan,noun,Semi-Canon,"Sentience, Sentient","Edited from ""Aztiivan."" From ""Hah"" and ""Ulaan,"" ""complete-minded."""
Hahvaas,noun,Semi-Canon,Concern,"Not the verb ""to relate with."""
Hahvahraniik,noun,Modern,Psychiatrist,"Lit ""mind healer""."
Hahvoth,verb,Semi-Canon,Concern,"Derived from ""Hah"", ""mind"", and ""Voth"", ""with"".  Can only be used as a verb."
Hahvothzos,adverb,Semi-Canon,Otherwise,"Literally, ""concerning more."""
Hahvulon,noun,Canon,Nightmare,
Hahzul,noun,Semi-Canon,"Telepathy, Telepathic","Lit. ""mind-voice"" or ""mind-voiced."""
Hakrim,noun,Non-Canon,Frame,"Edited from ""Hakir."""
Handeykraan,noun,Modern,Tape,"From Hankal 'stick' and Deykraan 'paper'."
Hariik,adjective,Non-Canon,Official,"From ""Haar"", ""pillar."" Edited from ""Hjaaris."""
Havaat,noun,Non-Canon,"Entrance, Entry","""Haav"" with the suffix ""-aat"", ""that which is entered"". Edited from ""Havaht."""
Hef,adjective,Non-Canon,Half,
Hefahdon,noun,Semi-Canon,Acquaintance,"Lit. ""half-friend."" Edited from ""Gufahdey."""
Hefahus,adjective,Non-Canon,"Idiotic, Moronic, Mindless","Hef + Hah + -us"
Hefhah,noun,Semi-Canon,"Idiot, Halfwit, Imbecile","From ""Hef"" and ""Hah,"" ""half-mind."""
Hefmun,noun,Semi-Canon,"Midget, Dwarf","Compound meaning ""half-man""."
Hefrah,noun,Semi-Canon,Demigod,"Lit. ""half-god."""
Hefsul,noun,Semi-Canon,Midday,"Literally, ""Half Day""."
Hefvaak,verb,Semi-Canon,"Stammer, Stutter,  Falter","Derived from ""Hef"" (""Half"") and ""Tinvaak"" (""Speak"")."
Hefvulon,noun,Semi-Canon,Midnight,"Lit. ""Half Night""."
Hefyaav,noun,Non-Canon,Radius,"From ""Hef"" and ""Yaav"". Literally, ""half-across""."
Hefyavve,noun,Non-Canon,Radii,"Plural of ""Hefyaav."""
Hei,pronoun,Semi-Canon,"You, plural","Speaking to a plural group rather than a singular ""you"", ""you all"". ""Hi"" may also be used in this way, but this invented word is specific to the plural."
Heikel,noun,Non-Canon,Liver,
Heim,noun,Canon,Forge,
Heimiik,noun,Semi-Canon,"Smith, Blacksmith, Forger","""Heim"" with the suffix ""-iik"""
Heimsekaan,noun,Semi-Canon,Skyforge,"Lit. ""Forge of Kyne."" Edited from ""Heimselok."""
Hein,pronoun,Semi-Canon,"Your/Yours, plural","See ""Hei""."
Heinmaar,pronoun,Semi-Canon,Yourselves,"See ""Hei""."
Hekofir,adjective,Non-Canon,"Hectic, Frantic, Manic","From ""Ofir""."
Hekzah,noun,Non-Canon,Clutter,
Hel,verb,Non-Canon,Set,
Heldmul,noun,Non-Canon,Cedar,
Hen,noun,Non-Canon,Five,
Henreid,noun,Non-Canon,Pentagon,"Means ""five-side""."
Hes,adjective,Non-Canon,"Sweet, Sweetness",
Hesbrot,noun,Non-Canon,Sweetroll,
Hespaagliik,noun,Modern,Pudding,"From ""Hes"" and ""Paagliik,"" ""sweet-cream."""
Hespik,noun,Non-Canon,"Yam, Sweet Potato
","A combination of ""Hes"", ""sweet"", and ""Hopik"", ""potato"". Edited from ""Hespak."""
